,external_urls,followers,genres,href,id,images,name,popularity,type,uri
90,{'spotify': 'https://open.spotify.com/artist/0aA1GTrIMutjIh4GlPPUVN'},"{'href': None, 'total': 152653}",['vapor soul'],https://api.spotify.com/v1/artists/0aA1GTrIMutjIh4GlPPUVN,0aA1GTrIMutjIh4GlPPUVN,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebfe59f29735cfca0256767031', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174fe59f29735cfca0256767031', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178fe59f29735cfca0256767031', 'width': 160}]",Crooked Colours,51,artist,spotify:artist:0aA1GTrIMutjIh4GlPPUVN
91,{'spotify': 'https://open.spotify.com/artist/6fchbydDZlEemGC9wiovuj'},"{'href': None, 'total': 6056}",['australian electropop'],https://api.spotify.com/v1/artists/6fchbydDZlEemGC9wiovuj,6fchbydDZlEemGC9wiovuj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb24259fdeb70ff78c741797c2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517424259fdeb70ff78c741797c2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17824259fdeb70ff78c741797c2', 'width': 160}]",Vlossom,33,artist,spotify:artist:6fchbydDZlEemGC9wiovuj
92,{'spotify': 'https://open.spotify.com/artist/0J626PVezyRujeAfXAssnH'},"{'href': None, 'total': 24192}",['australian indie'],https://api.spotify.com/v1/artists/0J626PVezyRujeAfXAssnH,0J626PVezyRujeAfXAssnH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb33ba1aec8c736fd600ffe403', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517433ba1aec8c736fd600ffe403', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17833ba1aec8c736fd600ffe403', 'width': 160}]",Slum Sociable,32,artist,spotify:artist:0J626PVezyRujeAfXAssnH
93,{'spotify': 'https://open.spotify.com/artist/6wFwvxJkurQPU2UdeD4qVt'},"{'href': None, 'total': 250723}",['australian indie'],https://api.spotify.com/v1/artists/6wFwvxJkurQPU2UdeD4qVt,6wFwvxJkurQPU2UdeD4qVt,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0ed1e88eed06bd1b42c94c7f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740ed1e88eed06bd1b42c94c7f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780ed1e88eed06bd1b42c94c7f', 'width': 160}]",The Jungle Giants,54,artist,spotify:artist:6wFwvxJkurQPU2UdeD4qVt
94,{'spotify': 'https://open.spotify.com/artist/1lc8mnyGrCLtPhCoWjRxjM'},"{'href': None, 'total': 437630}","['aussietronica', 'australian dance', 'australian indie', 'indietronica', 'nu disco']",https://api.spotify.com/v1/artists/1lc8mnyGrCLtPhCoWjRxjM,1lc8mnyGrCLtPhCoWjRxjM,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4341c3259d0e08769fb5b48f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744341c3259d0e08769fb5b48f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784341c3259d0e08769fb5b48f', 'width': 160}]",Flight Facilities,56,artist,spotify:artist:1lc8mnyGrCLtPhCoWjRxjM
95,{'spotify': 'https://open.spotify.com/artist/6n28c9qs9hNGriNa72b26u'},"{'href': None, 'total': 212023}","['alternative dance', 'aussietronica', 'australian dance', 'australian electropop']",https://api.spotify.com/v1/artists/6n28c9qs9hNGriNa72b26u,6n28c9qs9hNGriNa72b26u,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb7211732c945e492c8f8c68cc', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051747211732c945e492c8f8c68cc', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1787211732c945e492c8f8c68cc', 'width': 160}]",PNAU,72,artist,spotify:artist:6n28c9qs9hNGriNa72b26u
96,{'spotify': 'https://open.spotify.com/artist/5bdwzvp6eirvqh0TwOwjgE'},"{'href': None, 'total': 62256}",['aussietronica'],https://api.spotify.com/v1/artists/5bdwzvp6eirvqh0TwOwjgE,5bdwzvp6eirvqh0TwOwjgE,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb81ffb9e1af7e7c2e9cc98276', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517481ffb9e1af7e7c2e9cc98276', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17881ffb9e1af7e7c2e9cc98276', 'width': 160}]",Running Touch,45,artist,spotify:artist:5bdwzvp6eirvqh0TwOwjgE
97,{'spotify': 'https://open.spotify.com/artist/4VivsO1n4n2Mi2Btyb5gfL'},"{'href': None, 'total': 125375}","['australian dance', 'indie dream pop', 'indie soul']",https://api.spotify.com/v1/artists/4VivsO1n4n2Mi2Btyb5gfL,4VivsO1n4n2Mi2Btyb5gfL,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb72340272f2b7638c6d6929d0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517472340272f2b7638c6d6929d0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17872340272f2b7638c6d6929d0', 'width': 160}]",Cosmo's Midnight,50,artist,spotify:artist:4VivsO1n4n2Mi2Btyb5gfL
98,{'spotify': 'https://open.spotify.com/artist/2hrWpLNoJcs1EnWSXvB6JI'},"{'href': None, 'total': 197245}",['australian indie'],https://api.spotify.com/v1/artists/2hrWpLNoJcs1EnWSXvB6JI,2hrWpLNoJcs1EnWSXvB6JI,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe89b8120b4cade6e0f93fdbd', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e89b8120b4cade6e0f93fdbd', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e89b8120b4cade6e0f93fdbd', 'width': 160}]",The Rubens,49,artist,spotify:artist:2hrWpLNoJcs1EnWSXvB6JI
99,{'spotify': 'https://open.spotify.com/artist/6wFwvxJkurQPU2UdeD4qVt'},"{'href': None, 'total': 250723}",['australian indie'],https://api.spotify.com/v1/artists/6wFwvxJkurQPU2UdeD4qVt,6wFwvxJkurQPU2UdeD4qVt,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0ed1e88eed06bd1b42c94c7f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740ed1e88eed06bd1b42c94c7f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780ed1e88eed06bd1b42c94c7f', 'width': 160}]",The Jungle Giants,54,artist,spotify:artist:6wFwvxJkurQPU2UdeD4qVt
